('episode:', 3900, ' /move_cnt:', 2376, ' / rnd:', 2369, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 53, ' / statistics:', [(u'average_q', 1.127552933650618), (u'average_loss', 0.0665542349055382)], ' / epsilon:', 0.99584245)
('episode:', 4000, ' /move_cnt:', 2287, ' / rnd:', 2275, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 38, ' / statistics:', [(u'average_q', 1.1526792278948879), (u'average_loss', 0.06830443282838546)], ' / epsilon:', 0.99573976)
('episode:', 4100, ' /move_cnt:', 2478, ' / rnd:', 2468, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 58, ' / statistics:', [(u'average_q', 1.1714459878348764), (u'average_loss', 0.07347434240760982)], ' / epsilon:', 0.99562825)
('episode:', 4200, ' /move_cnt:', 2439, ' / rnd:', 2426, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 1.161907249823546), (u'average_loss', 0.06708554044480651)], ' / epsilon:', 0.99551854)
('episode:', 4300, ' /move_cnt:', 2387, ' / rnd:', 2371, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 1.1587046526015456), (u'average_loss', 0.062268384611658234)], ' / epsilon:', 0.99541099)
('episode:', 4400, ' /move_cnt:', 2213, ' / rnd:', 2201, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 49, ' / statistics:', [(u'average_q', 1.0940067857900022), (u'average_loss', 0.06053445267962457)], ' / epsilon:', 0.99531145)
('episode:', 4500, ' /move_cnt:', 2538, ' / rnd:', 2527, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 1.1026672102960051), (u'average_loss', 0.06703091505307456)], ' / epsilon:', 0.99519733)
('episode:', 4600, ' /move_cnt:', 2387, ' / rnd:', 2374, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 54, ' / statistics:', [(u'average_q', 1.062829093532026), (u'average_loss', 0.06850446973740748)], ' / epsilon:', 0.99509014)
('episode:', 4700, ' /move_cnt:', 2509, ' / rnd:', 2493, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 50, ' / statistics:', [(u'average_q', 1.0766839450556192), (u'average_loss', 0.06690654339428123)], ' / epsilon:', 0.9949771)
('episode:', 4800, ' /move_cnt:', 2527, ' / rnd:', 2513, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 41, ' / statistics:', [(u'average_q', 1.1187986636841665), (u'average_loss', 0.06939925522076101)], ' / epsilon:', 0.99486145)
('episode:', 4900, ' /move_cnt:', 2539, ' / rnd:', 2526, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 1.1017264946197793), (u'average_loss', 0.0699844515069844)], ' / epsilon:', 0.9947494)
('episode:', 5000, ' /move_cnt:', 2390, ' / rnd:', 2377, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 1.1614613014776363), (u'average_loss', 0.07147339465800531)], ' / epsilon:', 0.99464203)
('episode:', 5100, ' /move_cnt:', 2553, ' / rnd:', 2537, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 52, ' / statistics:', [(u'average_q', 1.1448322399244133), (u'average_loss', 0.07208959309427308)], ' / epsilon:', 0.99452494)
('episode:', 5200, ' /move_cnt:', 2291, ' / rnd:', 2276, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 49, ' / statistics:', [(u'average_q', 1.1092437403006892), (u'average_loss', 0.06922813620927747)], ' / epsilon:', 0.99442171)
('episode:', 5300, ' /move_cnt:', 2324, ' / rnd:', 2310, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 51, ' / statistics:', [(u'average_q', 1.1174720614381708), (u'average_loss', 0.07056710651837356)], ' / epsilon:', 0.9943174)
('episode:', 5400, ' /move_cnt:', 2361, ' / rnd:', 2350, ' / miss:', 2, ' / win:', 98, ' / p1Winner:', 56, ' / statistics:', [(u'average_q', 1.1419450739955113), (u'average_loss', 0.0743492784363596)], ' / epsilon:', 0.99421246)
('episode:', 5500, ' /move_cnt:', 2499, ' / rnd:', 2484, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 44, ' / statistics:', [(u'average_q', 1.1680372804798809), (u'average_loss', 0.07955321196048346)], ' / epsilon:', 0.99409897)
('episode:', 5600, ' /move_cnt:', 2502, ' / rnd:', 2493, ' / miss:', 0, ' / win:', 100, ' / p1Winner:', 46, ' / statistics:', [(u'average_q', 1.1682440381381303), (u'average_loss', 0.0654780347668049)], ' / epsilon:', 0.99398773)
('episode:', 5700, ' /move_cnt:', 2453, ' / rnd:', 2432, ' / miss:', 1, ' / win:', 99, ' / p1Winner:', 45, ' / statistics:', [(u'average_q', 1.1446711987214506), (u'average_loss', 0.07684152462759655)], ' / epsilon:', 0.9938755)
('episode:', 5800, ' /move_cnt:', 2383, ' / rnd:', 2366, ' / miss:', 3, ' / win:', 97, ' / p1Winner:', 47, ' / statistics:', [(u'average_q', 1.1414985625448133), (u'average_loss', 0.0748178224734507)], ' / epsilon:', 0.9937702)
('episode:', 5900, ' /move_cnt:', 2358, ' / rnd:', 2345, ' / miss:', 4, ' / win:', 96, ' / p1Winner:', 44, ' / statistics:', [(u'average_q', 1.2199988779203663), (u'average_loss', 0.07451443733153934)], ' / epsilon:', 0.9936622)
